product_id,sector,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score,category_name,fragility_level,requires_cushioning,moisture_sensitive,temperature_sensitive,typical_weight_kg,product_weight_g,product_volume_cm3,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material,flag_weight_outlier,flag_volume_outlier,flag_price_outlier,main_packaging_material,barrier_score,product_name_final,category_final,price_final
24,Personal Care/Home,3.0,3.0,4.0,70.0,65.0,40.0,2.0,4.0,,,,,,,,,,,,,,,,,,,Shampoo refill pouch ,,
25,Personal Care/Home,3.0,3.0,4.0,75.0,72.0,65.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Detergent pod tray ,,
26,Household Appliances,4.0,4.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Electric kettle box,,
27,Household Appliances,5.0,5.0,3.0,65.0,55.0,50.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Microwave oven shipper,,
28,Household Appliances,4.0,4.0,3.0,88.0,70.0,73.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Blender packaging,,
29,Household Appliances,5.0,5.0,3.0,80.0,72.0,70.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Refrigerator outer box,,
30,Household Appliances,4.0,4.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Vacuum cleaner pack,,
31,Household Appliances,4.0,4.0,3.0,85.0,70.0,72.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Ceiling fan box,,
32,Household Appliances,3.0,3.0,3.0,88.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Iron packaging,,
33,Household Appliances,4.0,4.0,4.0,75.0,65.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Air purifier box,,
34,Household Appliances,3.0,3.0,3.0,85.0,68.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Coffee maker box,,
35,Household Appliances,3.0,3.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Toaster packaging,,
36,Furniture,4.0,5.0,3.0,70.0,65.0,50.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Dining chair carton,,
37,Furniture,5.0,5.0,3.0,75.0,68.0,68.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Table flat pack,,
38,Furniture,3.0,3.0,2.0,90.0,78.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Cushion packaging,,
39,Furniture,4.0,4.0,3.0,60.0,55.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Mattress roll wrap,,
40,Furniture,3.0,3.0,3.0,85.0,70.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Lamp box,,
41,Toys,3.0,3.0,3.0,85.0,70.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Kids toy box,,
42,Toys,4.0,4.0,4.0,20.0,55.0,60.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Building blocks tub,,
43,Toys,3.0,3.0,2.0,80.0,70.0,40.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Soft toy bag,,
44,Toys,3.0,3.0,3.0,85.0,70.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Educational kit box,,
45,Toys,3.0,3.0,3.0,65.0,60.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Doll packaging,,
46,Baby Care,4.0,4.0,4.0,25.0,55.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Baby bottle pack,,
47,Baby Care,4.0,4.0,4.0,0.0,55.0,55.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Baby lotion bottle,,
48,Baby Care,3.0,3.0,3.0,70.0,65.0,45.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Diaper bag pack,,
49,Baby Care,3.0,3.0,4.0,75.0,70.0,30.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Baby food pouch,,
50,Baby Care,3.0,3.0,3.0,60.0,60.0,50.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Baby wipes packet,,
51,Industrial/Automotive,5.0,5.0,5.0,0.0,55.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Motor oil bottle,,
52,Industrial/Automotive,5.0,5.0,5.0,0.0,50.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Brake fluid can,,
53,Industrial/Automotive,4.0,5.0,3.0,70.0,60.0,60.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Car part box,,
54,Industrial/Automotive,4.0,4.0,4.0,50.0,55.0,45.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Lubricant pouch,,
55,Industrial/Automotive,4.0,4.0,4.0,10.0,52.0,55.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Battery packaging,,
56,Healthcare/Medical Devices,4.0,3.0,5.0,5.0,50.0,30.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Medical syringe pack,,
57,Healthcare/Medical Devices,3.0,3.0,4.0,40.0,60.0,50.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Diagnostic test kit,,
58,Healthcare/Medical Devices,3.0,3.0,3.0,85.0,72.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Surgical gloves box,,
59,Healthcare/Medical Devices,3.0,3.0,4.0,20.0,55.0,40.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Bandage pouch,,
60,Healthcare/Medical Devices,3.0,3.0,3.0,88.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Thermometer box,,
61,Stationery,3.0,3.0,2.0,95.0,80.0,80.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Notebook pack,,
62,Stationery,3.0,3.0,3.0,10.0,52.0,55.0,2.0,1.0,,,,,,,,,,,,,,,,,,,Pen blister card,,
63,Stationery,3.0,3.0,3.0,80.0,70.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Printer cartridge box,,
64,Stationery,3.0,3.0,3.0,70.0,65.0,50.0,2.0,2.0,,,,,,,,,,,,,,,,,,,Marker set pouch,,
65,Stationery,3.0,3.0,3.0,88.0,72.0,80.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Stapler pack,,
66,Sports & Outdoor,5.0,5.0,5.0,0.0,55.0,85.0,3.0,5.0,,,,,,,,,,,,,,,,,,,Water bottle (sports),,
67,Sports & Outdoor,3.0,3.0,4.0,70.0,65.0,30.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Energy gel pouch,,
68,Sports & Outdoor,5.0,5.0,5.0,0.0,55.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Tennis ball can,,
69,Sports & Outdoor,4.0,4.0,3.0,30.0,55.0,50.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Sleeping bag sack,,
70,Sports & Outdoor,3.0,3.0,3.0,85.0,72.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Fitness band box,,
71,Sports & Outdoor,4.0,4.0,3.0,85.0,70.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Camping stove box,,
72,Sports & Outdoor,4.0,5.0,3.0,85.0,70.0,70.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Helmet box,,
73,Sports & Outdoor,3.0,3.0,2.0,90.0,75.0,80.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Yoga mat sleeve,,
74,Sports & Outdoor,4.0,4.0,3.0,20.0,50.0,45.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Instant tent bag,,
75,Sports & Outdoor,4.0,4.0,4.0,10.0,52.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Torchlight blister,,
76,Sports & Outdoor,3.0,3.0,3.0,75.0,70.0,50.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Hand warmer pouch,,
77,Food,3.0,3.0,4.0,75.0,70.0,35.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Vacuum-sealed coffee pack,,
78,Food,4.0,4.0,5.0,20.0,55.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Protein powder tub,,
79,Food,4.0,4.0,4.0,60.0,65.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Pet food pouch,,
80,Food,3.0,3.0,4.0,65.0,60.0,40.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Ice cream pint,,
81,Household Appliances,4.0,4.0,3.0,85.0,70.0,70.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Non-stick pan box,,
82,Household Appliances,3.0,3.0,3.0,88.0,72.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Wall clock box,,
83,Sports & Outdoor,3.0,3.0,3.0,85.0,75.0,40.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Yoga resistance band pouch,,
84,Sports & Outdoor,4.0,4.0,3.0,85.0,72.0,72.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Camping lantern box,,
85,Baby Care,4.0,4.0,4.0,0.0,55.0,58.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Baby shampoo bottle,,
86,Baby Care,5.0,5.0,5.0,0.0,50.0,80.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Baby formula tin,,
87,Stationery,3.0,3.0,2.0,95.0,80.0,85.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Office file folder wrap,,
88,Stationery,3.0,3.0,3.0,10.0,52.0,55.0,2.0,1.0,,,,,,,,,,,,,,,,,,,Mechanical pencil pack,,
89,Industrial/Automotive,4.0,5.0,3.0,75.0,68.0,65.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Wrench set box,,
90,Industrial/Automotive,4.0,4.0,3.0,85.0,70.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Engine filter box,,
91,Healthcare/Medical Devices,3.0,3.0,4.0,80.0,70.0,45.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Hospital gloves pouch,,
92,Household Appliances,5.0,5.0,3.0,80.0,68.0,72.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Dishwasher box,,
93,Household Appliances,4.0,4.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Mixer grinder set,,
94,Household Appliances,4.0,4.0,3.0,78.0,68.0,68.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Induction cooktop box,,
95,Household Appliances,4.0,4.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Electric fan heater box,,
96,Electronics,3.0,3.0,3.0,85.0,70.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,LED projector pack,,
97,Electronics,5.0,5.0,3.0,75.0,65.0,65.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Gaming console packaging,,
98,Electronics,3.0,3.0,3.0,88.0,72.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Smart speaker box,,
99,Electronics,4.0,4.0,4.0,20.0,55.0,52.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Power bank pack,,
100,Electronics,4.0,4.0,4.0,75.0,65.0,55.0,3.0,1.0,,,,,,,,,,,,,,,,,,,External hard drive box,,
101,Electronics,3.0,3.0,3.0,92.0,80.0,70.0,4.0,2.0,,,,,,,,,,,,,,,,,,,Wireless charger box,,
102,Electronics,4.0,4.0,3.0,88.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Gaming keyboard box,,
103,Electronics,5.0,5.0,3.0,75.0,65.0,65.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Office printer box,,
104,Electronics,4.0,4.0,3.0,85.0,70.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Keyboard + mouse combo pack,,
105,Food,3.0,3.0,4.0,60.0,60.0,38.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Refrigerated yogurt cup,,
106,Food,3.0,3.0,4.0,70.0,65.0,45.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Soup cup (instant),,
107,Food,3.0,3.0,3.0,85.0,72.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Bakery pastry box,,
108,Food,3.0,3.0,4.0,80.0,72.0,40.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Frozen peas pouch,,
109,Food,4.0,4.0,5.0,60.0,55.0,50.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Cooking oil pouch,,
110,Food,4.0,3.0,5.0,0.0,50.0,82.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Honey jar,,
111,Food,3.0,3.0,4.0,70.0,70.0,35.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Jam refill pouch,,
112,Cosmetics,4.0,4.0,5.0,0.0,52.0,80.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Cosmetic serum bottle,,
113,Cosmetics,3.0,3.0,3.0,90.0,78.0,80.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Shampoo bar box,,
114,Cosmetics,3.0,3.0,4.0,85.0,72.0,75.0,4.0,3.0,,,,,,,,,,,,,,,,,,,Perfume gift set,,
115,Cosmetics,4.0,4.0,4.0,0.0,55.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Hair oil bottle,,
116,Cosmetics,5.0,5.0,5.0,0.0,55.0,85.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Compact powder tin,,
117,Cosmetics,5.0,5.0,5.0,0.0,55.0,80.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Deodorant can,,
118,Cosmetics,3.0,3.0,4.0,70.0,70.0,40.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Makeup refill pouch,,
119,Cosmetics,3.0,3.0,3.0,50.0,58.0,55.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Travel cosmetic kit,,
120,Pharmaceuticals,5.0,5.0,5.0,0.0,55.0,80.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Pain relief spray can,,
121,Pharmaceuticals,3.0,3.0,5.0,10.0,55.0,40.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Thermal patch pack,,
122,Healthcare,3.0,3.0,3.0,85.0,72.0,58.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Bandage roll wrap,,
123,Healthcare,3.0,3.0,3.0,90.0,75.0,70.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Cotton swab box,,
124,Industrial,3.0,3.0,3.0,80.0,70.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Safety gloves pack,,
125,Automotive,4.0,5.0,3.0,70.0,60.0,60.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Bike part kit,,
126,Industrial Tools,5.0,5.0,4.0,15.0,50.0,65.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Tool organizer box,,
127,Industrial,5.0,5.0,5.0,0.0,50.0,85.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Paint can,,
128,Stationery,3.0,3.0,2.0,95.0,78.0,85.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Office paper ream wrapper,,
129,Stationery,3.0,3.0,3.0,90.0,75.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Fine art brush set pack,,
130,Textiles/Apparel,4.0,4.0,3.0,85.0,70.0,80.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Sports shoe box,,
131,Textiles/Apparel,3.0,3.0,3.0,80.0,70.0,60.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Jacket mailer,,
132,Personal Care/Home,3.0,3.0,4.0,80.0,75.0,70.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Laundry detergent powder pack,,
133,Home Decor,4.0,4.0,5.0,0.0,50.0,80.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Scented candle jar,,
134,Home Decor,3.0,3.0,2.0,95.0,80.0,80.0,2.0,3.0,,,,,,,,,,,,,,,,,,,Curtain set sleeve,,
,,,,,,,,,,Electronics,high,True,True,False,3.5,,,,,,,,,,,,,,,
,,,,,,,,,,Food & Beverages,medium,False,True,True,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,Cosmetics & Personal Care,high,True,True,False,1.2,,,,,,,,,,,,,,,
,,,,,,,,,,Pharmaceuticals,high,True,True,True,0.8,,,,,,,,,,,,,,,
,,,,,,,,,,Clothing & Textiles,low,False,True,False,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,Glassware & Ceramics,high,True,False,False,3.5,,,,,,,,,,,,,,,
,,,,,,,,,,Furniture (Small/Flat-pack),medium,True,False,False,18.0,,,,,,,,,,,,,,,
,,,,,,,,,,Books & Stationery,low,False,True,False,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,Toys & Games,medium,True,False,False,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,Industrial & Auto Parts,medium,False,False,False,12.0,,,,,,,,,,,,,,,
,,,,,,,,,,Jewelry & Watches,high,True,False,False,0.3,,,,,,,,,,,,,,,
,,,,,,,,,,Sports & Outdoor Equipment,medium,True,False,False,5.0,,,,,,,,,,,,,,,
,,,,,,,,,,Pet Supplies,low,False,True,False,4.0,,,,,,,,,,,,,,,
PRD0001,,,,,,,,,,,Low,,,,,400.0,422.27,Low,Medium,720.0,Pouch,LDPE Plastic,False,False,False,,,Dabur Body Wash 400 ml v2,Personal Care,221.4
PRD0002,,,,,,,,,,,Low,,,,,200.0,410.27,Low,Medium,240.0,Wrapper,LDPE Plastic,False,False,False,,,Nestlé Namkeen 200 g,Food,47.69
PRD0003,,,,,,,,,,,Low,,,,,100.0,161.27,Low,Medium,720.0,Tube,HDPE Plastic,False,False,False,,,Sugar Cosmetics Cream 100 g,Cosmetics,120.5
PRD0004,,,,,,,,,,,Low,,,,,5000.0,8920.73,Low,Low,365.0,Bag,Kraft Paper (Unbleached),False,False,False,,,Patanjali Rice 5000 g,Grocery,324.28
PRD0005,,,,,,,,,,,Medium,,,,,500.0,571.71,High,High,7.0,Pouch,HDPE Plastic,False,False,False,,,Milky Mist Buttermilk 500 ml,Dairy,22.94
PRD0006,,,,,,,,,,,Medium,,,,,1000.0,1245.42,Low,Low,540.0,Jar,Glass (Soda-Lime),False,False,False,,,Saffola Pickle 1000 g,Grocery,219.74
PRD0007,,,,,,,,,,,Medium,,,,,500.0,528.04,High,High,10.0,Pouch,HDPE Plastic,False,False,False,,,Britannia Dairy Lassi 500 ml v2,Dairy,20.22
PRD0008,,,,,,,,,,,Medium,,,,,500.0,535.18,Medium,Low,120.0,Can,Steel (Carbon Steel),False,False,False,,,Tropicana Juice 500 ml,Beverages,61.41
PRD0009,,,,,,,,,,,Medium,,,,,200.0,211.73,Medium,Medium,540.0,Bottle,HDPE Plastic,False,False,False,,,Dolo Syrup 200 ml,Healthcare,113.49
PRD0010,,,,,,,,,,,Low,,,,,30.0,46.63,Low,Medium,240.0,Wrapper,Paperboard (Folding Carton),False,False,False,,,Haldiram Chips 30 g,Food,10.0
PRD0011,,,,,,,,,,,Medium,,,,,200.0,417.23,Low,Low,540.0,Jar,Glass (Soda-Lime),False,False,False,,,Cadbury Sauce 200 g,Food,37.58
PRD0012,,,,,,,,,,,Medium,,,,,200.0,367.08,High,High,180.0,Wrapper,LDPE Plastic,False,False,False,,,Britannia Dairy Butter 200 g,Dairy,51.82
PRD0013,,,,,,,,,,,Medium,,,,,500.0,869.29,High,High,180.0,Wrapper,Paperboard (Folding Carton),False,False,False,,,Britannia Dairy Cheese 500 g v2,Dairy,172.6
PRD0014,,,,,,,,,,,Low,,,,,2000.0,3912.02,Low,Low,720.0,Bottle,HDPE Plastic,False,False,False,,,Lizol Detergent 2000 g,Home Care,329.44
PRD0015,,,,,,,,,,,Low,,,,,1000.0,1087.48,Low,Low,720.0,Bag,HDPE Plastic,False,False,False,,,Vim Floor Cleaner 1000 ml,Home Care,113.33
PRD0016,,,,,,,,,,,Low,,,,,400.0,774.63,Low,Medium,240.0,Pouch,LDPE Plastic,False,False,False,,,Sunfeast Namkeen 400 g,Food,102.24
PRD0017,,,,,,,,,,,Low,,,,,60.0,88.4,Low,Low,720.0,Can,Paperboard (Folding Carton),False,False,False,,,Good Knight Insect Repellent 60 g,Home Care,34.44
PRD0018,,,,,,,,,,,Low,,,,,500.0,551.15,Low,Medium,720.0,Bottle,HDPE Plastic,False,False,False,,,Head & Shoulders Handwash 500 ml,Personal Care,110.04
PRD0019,,,,,,,,,,,High,,,,,2185.57,8669.62,Low,Low,365.0,Box,Corrugated Cardboard,False,False,True,,,Mi Laptop 15-inch,Electronics,39999.0
PRD0020,,,,,,,,,,,Low,,,,,1000.0,2142.74,Low,Medium,240.0,Box,LDPE Plastic,False,False,False,,,Kellogg's Biscuits 1000 g,Food,116.96
PRD0021,,,,,,,,,,,Low,,,,,80.0,132.01,Medium,High,365.0,Wrapper,Paperboard (Folding Carton),False,False,False,,,Nestlé Chocolate 80 g,Food,69.63
PRD0022,,,,,,,,,,,Medium,,,,,2000.0,2159.18,Medium,Low,365.0,Can,Steel (Carbon Steel),False,False,False,,,Real Mineral Water 2000 ml,Beverages,75.75
PRD0023,,,,,,,,,,,Medium,,,,,500.0,867.01,Low,Low,540.0,Jar,PET Plastic,False,False,False,,,Everest Honey 500 g,Grocery,219.91
PRD0024,,,,,,,,,,,Medium,,,,,200.0,252.05,Medium,Low,365.0,Box,Paperboard (Folding Carton),False,False,False,,,Paper Boat Coffee 200 g,Beverages,100.32
PRD0025,,,,,,,,,,,Low,,,,,2000.0,4876.0,Low,Low,365.0,Pouch,PP Plastic,False,False,False,,,Patanjali Pulses 2000 g,Grocery,234.57
PRD0026,,,,,,,,,,,Low,,,,,1000.0,1146.13,Low,Low,720.0,Bag,LDPE Plastic,False,False,False,,,Good Knight Floor Cleaner 1000 ml,Home Care,131.46
PRD0027,,,,,,,,,,,Low,,,,,280.0,586.05,Low,Medium,240.0,Box,Paperboard (Folding Carton),False,False,False,,,Bingo Noodles 280 g v2,Food,51.53
PRD0028,,,,,,,,,,,High,,,,,1351.24,6544.12,Low,Low,365.0,Box,Corrugated Cardboard,False,False,True,,,Mi Laptop 15-inch v2,Electronics,39999.0
PRD0029,,,,,,,,,,,Low,,,,,200.0,346.83,Low,Medium,240.0,Wrapper,LDPE Plastic,False,False,False,,,ITC Chips 200 g,Food,57.67
PRD0030,,,,,,,,,,,Low,,,,,200.0,210.9,Low,Medium,720.0,Pouch,LDPE Plastic,False,False,False,,,Dettol Lotion 200 ml,Personal Care,136.72
PRD0031,,,,,,,,,,,Low,,,,,150.0,249.24,Low,Low,720.0,Can,Paperboard (Folding Carton),False,False,False,,,Vim Air Freshener 150 g,Home Care,40.39
PRD0032,,,,,,,,,,,Low,,,,,500.0,1247.55,Low,Low,365.0,Pouch,PP Plastic,False,False,False,,,MDH Pulses 500 g,Grocery,56.71
PRD0033,,,,,,,,,,,Medium,,,,,200.0,221.71,Medium,Medium,540.0,Bottle,HDPE Plastic,False,False,False,,,Betadine Syrup 200 ml,Healthcare,147.3
PRD0034,,,,,,,,,,,Medium,,,,,1000.0,1043.69,Medium,Low,365.0,Bottle,PET Plastic,False,False,False,,,Fanta Mineral Water 1000 ml,Beverages,36.65
PRD0035,,,,,,,,,,,Medium,,,,,438.52,374.12,Low,Low,365.0,Box,Corrugated Cardboard,False,False,False,,,Samsung Power Bank 10000mAh,Electronics,1299.0
PRD0036,,,,,,,,,,,Low,,,,,1000.0,2092.02,Low,Medium,240.0,Wrapper,Cellulose Film,False,False,False,,,Kellogg's Cereal 1000 g,Food,352.34
PRD0037,,,,,,,,,,,Low,,,,,400.0,457.37,Low,Medium,720.0,Bottle,HDPE Plastic,False,False,False,,,Lux Body Wash 400 ml,Personal Care,205.27
PRD0038,,,,,,,,,,,Low,,,,,100.0,210.29,Low,Medium,720.0,Tube,HDPE Plastic,False,False,False,,,Maybelline Cream 100 g,Cosmetics,114.06
PRD0039,,,,,,,,,,,Medium,,,,,500.0,543.12,Medium,Low,180.0,Bottle,PET Plastic,False,False,False,,,Paper Boat Iced Tea 500 ml v2,Beverages,43.92
PRD0040,,,,,,,,,,,Low,,,,,1000.0,1439.25,Low,Medium,240.0,Box,Cellulose Film,False,False,False,,,ITC Pasta 1000 g,Food,181.79
