material_id,material_name,material_type,biodegradability_score,water_resistance,recycle_time_days,manufacturing_place,moisture_resistance,material_category,product_category,strength_final,weight_capacity_final,co2_emission_final,recyclability_final,cost_per_kg_final,cost_per_unit_final,co2_impact_index,cost_efficiency_index,material_suitability_score,sustainability_score,cost_category
1,PLA Bioplastic,Plastic-based,0.0045,0.2857142857142857,108.57142857142856,India,0.6,Plastic,Cosmetics,0.0013,0.4,0.0109090909090909,0.45,0.5489891135303266,13.387298458428102,0.9890909090909092,0.4510108864696733,0.3150101795560582,0.4070580061494068,Medium
MAT017,Virgin Cardboard,PHA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.08,0.025,0.0163636363636363,0.65,0.6189735614307932,13.387298458428102,0.9836363636363636,0.3810264385692068,0.292966280220557,0.3931784577568697,Medium
248,Advanced Bio-based polyesters Variant 72,Bio-based polyesters,0.687,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0062,0.02,0.6754545454545454,0.88,0.2606796598391846,13.387298458428102,0.3245454545454546,0.7393203401608154,0.390986579470627,0.590724489902817,Low
1,Recycled Cardboard / Paperboard,Fiber-based (cellulosic),0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.6363636363636364,0.75,0.2606796598391846,13.387298458428102,0.3636363636363636,0.7393203401608154,0.401295670379718,0.6261091536385128,Low
1,Seaweed Film,Organic,0.0099,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.0007,0.1,0.0072727272727272,0.0,1.0,13.387298458428102,0.9927272727272728,0.0,0.1209327272727272,0.064045023662486,High
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
MAT014,Virgin Cardboard,Aluminum (Primary),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Metal,Cosmetics,0.19,0.054,0.1063636363636363,0.95,0.3623639191290824,13.387298458428102,0.8936363636363637,0.6376360808709176,0.4014272444507281,0.5785386086352673,Medium
MAT019,Virgin Cardboard,Starch-based Film Blend,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.03,0.026,0.0109090909090909,0.5,0.3390357698289269,13.387298458428102,0.9890909090909092,0.6609642301710731,0.2792055139261982,0.3719786635700487,Medium
1,Cornstarch Peanuts,Foam-based,0.0099,0.2857142857142857,108.57142857142856,India,0.05,Plastic,Cosmetics,0.0006,0.1,0.0136363636363636,0.15,0.4556765163297045,13.387298458428102,0.9863636363636364,0.5443234836702955,0.2047037120033931,0.2243351115632087,Medium
139,Alginate Films (Brown Algae),Bio-based polysaccharide,0.95,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.8454545454545455,0.25,0.2606796598391846,13.387298458428102,0.1545454545454545,0.7393203401608154,0.290886579470627,0.4056926950381853,Low
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,Seaweed Film,Organic,0.0099,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.0007,0.1,0.0072727272727272,0.0,1.0,13.387298458428102,0.9927272727272728,0.0,0.1209327272727272,0.064045023662486,High
MAT019,Virgin Cardboard,Starch-based Film Blend,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.03,0.026,0.0109090909090909,0.5,0.3390357698289269,13.387298458428102,0.9890909090909092,0.6609642301710731,0.2792055139261982,0.3719786635700487,Medium
372,Advanced Agro-waste composite Variant 196,Agro-waste composite,0.499,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0096,0.02,0.6527272727272727,0.28,0.2606796598391846,13.387298458428102,0.3472727272727273,0.7393203401608154,0.2459093067433542,0.2958895403450816,Low
1,Seaweed Film,Organic,0.0099,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.0007,0.1,0.0072727272727272,0.0,1.0,13.387298458428102,0.9927272727272728,0.0,0.1209327272727272,0.064045023662486,High
219,Advanced Natural fiber Variant 43,Natural fiber (coir),0.515,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0022,0.04,0.8672727272727273,0.28,0.2606796598391846,13.387298458428102,0.1327272727272727,0.7393203401608154,0.2290047612888088,0.2431460328878676,Low
1,Cellophane,Plastic-based,0.0085,0.2857142857142857,108.57142857142856,India,0.4,Plastic,Cosmetics,0.0009,0.2,0.0127272727272727,0.4,0.47900466562986,13.387298458428102,0.9872727272727272,0.5209953343701399,0.2723268061642867,0.3445338488076938,Medium
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
460,High-Grade Lignocellulosic (wood-like) Variant 192,Lignocellulosic (wood-like),0.875,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.1,0.8072727272727273,0.65,0.2606796598391846,13.387298458428102,0.1927272727272727,0.7393203401608154,0.3764547612888088,0.5603543704407281,Low
1,Cornstarch Peanuts,Foam-based,0.0099,0.2857142857142857,108.57142857142856,India,0.05,Plastic,Cosmetics,0.0006,0.1,0.0136363636363636,0.15,0.4556765163297045,13.387298458428102,0.9863636363636364,0.5443234836702955,0.2047037120033931,0.2243351115632087,Medium
1,Cellophane,Plastic-based,0.0085,0.2857142857142857,108.57142857142856,India,0.4,Plastic,Cosmetics,0.0009,0.2,0.0127272727272727,0.4,0.47900466562986,13.387298458428102,0.9872727272727272,0.5209953343701399,0.2723268061642867,0.3445338488076938,Medium
258,Advanced Bio-based polymer Variant 82,Bio-based polymer,0.3429999999999999,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0034,0.06,0.8090909090909091,0.05,0.2606796598391846,13.387298458428102,0.1909090909090909,0.7393203401608154,0.1673229431069906,0.1117132909867407,Low
463,High-Grade Bio-based polymer (starch) Variant 195,Bio-based polymer (starch),0.943,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0038,0.06,0.7718181818181818,0.22,0.2606796598391846,13.387298458428102,0.2281818181818181,0.7393203401608154,0.2951502158342633,0.4183792126886128,Low
23,Beeswax-Coated Paper,Bio-based coated fiber,0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7272727272727273,0.45,0.2606796598391846,13.387298458428102,0.2727272727272727,0.7393203401608154,0.3277047612888088,0.4781521613873107,Low
MAT018,Virgin Cardboard,Cellulose Film,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.16,0.03,0.0127272727272727,0.6,0.401244167962675,13.387298458428102,0.9872727272727272,0.598755832037325,0.3261028559310052,0.4490075743825511,Medium
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
552,Aluminium,Metal,0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.009781242094,0.09665421244,0.0812425956818181,0.5343129,0.2606796598391846,13.387298458428102,0.918757404318182,0.7393203401608154,0.2944465074593997,0.3886928801603885,Low
MAT019,Virgin Cardboard,Starch-based Film Blend,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.03,0.026,0.0109090909090909,0.5,0.3390357698289269,13.387298458428102,0.9890909090909092,0.6609642301710731,0.2792055139261982,0.3719786635700487,Medium
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,Seaweed Film,Organic,0.0099,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.0007,0.1,0.0072727272727272,0.0,1.0,13.387298458428102,0.9927272727272728,0.0,0.1209327272727272,0.064045023662486,High
MAT014,Virgin Cardboard,Aluminum (Primary),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Metal,Cosmetics,0.19,0.054,0.1063636363636363,0.95,0.3623639191290824,13.387298458428102,0.8936363636363637,0.6376360808709176,0.4014272444507281,0.5785386086352673,Medium
1,Cornstarch Peanuts,Foam-based,0.0099,0.2857142857142857,108.57142857142856,India,0.05,Plastic,Cosmetics,0.0006,0.1,0.0136363636363636,0.15,0.4556765163297045,13.387298458428102,0.9863636363636364,0.5443234836702955,0.2047037120033931,0.2243351115632087,Medium
MAT014,Virgin Cardboard,Aluminum (Primary),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Metal,Cosmetics,0.19,0.054,0.1063636363636363,0.95,0.3623639191290824,13.387298458428102,0.8936363636363637,0.6376360808709176,0.4014272444507281,0.5785386086352673,Medium
MAT011,Virgin Cardboard,Kraft Paper (Unbleached),0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Paper,Cosmetics,0.012,0.013,0.0072727272727272,0.85,0.0404354587869362,13.387298458428102,0.9927272727272728,0.9595645412130638,0.3723291813940337,0.5541592818232326,Low
233,Advanced Bio-based composite Variant 57,Bio-based composite,0.405,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0094,0.1,0.5563636363636364,0.36,0.2606796598391846,13.387298458428102,0.4436363636363636,0.7393203401608154,0.2733956703797179,0.3412439282459221,Low
251,Advanced Bio-based starch Variant 75,Bio-based starch,0.8340000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0068,0.08,0.7781818181818181,0.11,0.2606796598391846,13.387298458428102,0.2218181818181819,0.7393203401608154,0.2609138521978997,0.3393372839747597,Low
66,Jackfruit seed bioplastics,Bio-based composite,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7999999999999999,0.3,0.2606796598391846,13.387298458428102,0.2,0.7393203401608154,0.2979320340160816,0.4187877793181477,Low
1,Cellophane,Plastic-based,0.0085,0.2857142857142857,108.57142857142856,India,0.4,Plastic,Cosmetics,0.0009,0.2,0.0127272727272727,0.4,0.47900466562986,13.387298458428102,0.9872727272727272,0.5209953343701399,0.2723268061642867,0.3445338488076938,Medium
MAT019,Virgin Cardboard,Starch-based Film Blend,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.03,0.026,0.0109090909090909,0.5,0.3390357698289269,13.387298458428102,0.9890909090909092,0.6609642301710731,0.2792055139261982,0.3719786635700487,Medium
MAT017,Virgin Cardboard,PHA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.08,0.025,0.0163636363636363,0.65,0.6189735614307932,13.387298458428102,0.9836363636363636,0.3810264385692068,0.292966280220557,0.3931784577568697,Medium
204,Advanced Natural fiber Variant 28,Natural fiber,0.476,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.005,0.08,0.3827272727272727,0.17,0.2606796598391846,13.387298458428102,0.6172727272727272,0.7393203401608154,0.2583093067433543,0.3381046000412058,Low
MAT016,Virgin Cardboard,PLA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.12,0.0248,0.0145454545454545,0.7000000000000001,0.463452566096423,13.387298458428102,0.9854545454545456,0.536547433903577,0.3286601979358122,0.4580852198607097,Medium
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,Hemp Packaging,Fiber/Fabric,0.0092,0.2857142857142857,108.57142857142856,India,0.18,Plastic,Cosmetics,0.00164,0.6,0.004090909090909,0.6,0.6111975116640747,13.387298458428102,0.9959090909090909,0.3888024883359253,0.3802611579245015,0.5142471658732711,Medium
26,Virgin Cardboard,Plant Fiber,0.0093360995850622,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Food,0.0019053497942386,0.0069777086573354,0.0060923369823893,0.0069415597637955,0.2606796598391846,0.7715440990649483,0.9939076630176108,0.7393203401608154,0.1779834063883878,0.182493702727352,Low
311,Advanced Bio-based protein Variant 135,Bio-based protein,0.978,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0054,0.08,0.6763636363636364,0.49,0.2606796598391846,13.387298458428102,0.3236363636363636,0.7393203401608154,0.3683456703797179,0.5694126767399874,Low
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,PLA Bioplastic,Plastic-based,0.0045,0.2857142857142857,108.57142857142856,India,0.6,Plastic,Cosmetics,0.0013,0.4,0.0109090909090909,0.45,0.5489891135303266,13.387298458428102,0.9890909090909092,0.4510108864696733,0.3150101795560582,0.4070580061494068,Medium
1,Cotton Cushioning,Fiber/Fabric,0.0085,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.00096,0.24,0.0163636363636363,0.7000000000000001,0.3779160186625194,13.387298458428102,0.9836363636363636,0.6220839813374806,0.3500870344973844,0.489684915736508,Medium
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
MAT016,Virgin Cardboard,PLA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.12,0.0248,0.0145454545454545,0.7000000000000001,0.463452566096423,13.387298458428102,0.9854545454545456,0.536547433903577,0.3286601979358122,0.4580852198607097,Medium
171,Pha From Bacteria (Films),Bio-based polyester,0.95,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.25,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3026593067433543,0.433174911913733,Low
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
29,Virgin Cardboard,Recycled Kraft Board,0.8300000000000001,0.0,120.0,India,0.3359999999999999,Plastic,Cosmetics,0.014,0.28,0.0218181818181818,0.89,0.2606796598391846,27.0,0.9781818181818182,0.7393203401608154,0.5337502158342634,0.9157025774617884,Low
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,Cornstarch Peanuts,Foam-based,0.0099,0.2857142857142857,108.57142857142856,India,0.05,Plastic,Cosmetics,0.0006,0.1,0.0136363636363636,0.15,0.4556765163297045,13.387298458428102,0.9863636363636364,0.5443234836702955,0.2047037120033931,0.2243351115632087,Medium
38,Sorghum Stalk Padding,Lignocellulosic,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7909090909090909,0.55,0.2606796598391846,13.387298458428102,0.2090909090909091,0.7393203401608154,0.3488411249251725,0.517437414227198,Low
1,PLA Bioplastic,Plastic-based,0.0045,0.2857142857142857,108.57142857142856,India,0.6,Plastic,Cosmetics,0.0013,0.4,0.0109090909090909,0.45,0.5489891135303266,13.387298458428102,0.9890909090909092,0.4510108864696733,0.3150101795560582,0.4070580061494068,Medium
127,Recycled Aluminum Foil,Metal,0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.01,0.04,0.5,1.0,0.2606796598391846,13.387298458428102,0.5,0.7393203401608154,0.3344320340160815,0.4306955759567268,Low
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
MAT017,Virgin Cardboard,PHA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.08,0.025,0.0163636363636363,0.65,0.6189735614307932,13.387298458428102,0.9836363636363636,0.3810264385692068,0.292966280220557,0.3931784577568697,Medium
1,Cellophane,Plastic-based,0.0085,0.2857142857142857,108.57142857142856,India,0.4,Plastic,Cosmetics,0.0009,0.2,0.0127272727272727,0.4,0.47900466562986,13.387298458428102,0.9872727272727272,0.5209953343701399,0.2723268061642867,0.3445338488076938,Medium
111,Willow Bark Composites,Lignocellulosic,0.88,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.6,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3621593067433543,0.5407292041331577,Low
1,Cornstarch Peanuts,Foam-based,0.0099,0.2857142857142857,108.57142857142856,India,0.05,Plastic,Cosmetics,0.0006,0.1,0.0136363636363636,0.15,0.4556765163297045,13.387298458428102,0.9863636363636364,0.5443234836702955,0.2047037120033931,0.2243351115632087,Medium
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,PBAT Compostable,Plastic-based,0.0069999999999999,0.2857142857142857,108.57142857142856,India,0.5,Plastic,Cosmetics,0.00104,0.3,0.019090909090909,0.25,0.6345256609642302,13.387298458428102,0.980909090909091,0.3654743390357697,0.2459483429944861,0.2834993904260005,Medium
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
MAT019,Virgin Cardboard,Starch-based Film Blend,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.03,0.026,0.0109090909090909,0.5,0.3390357698289269,13.387298458428102,0.9890909090909092,0.6609642301710731,0.2792055139261982,0.3719786635700487,Medium
